mean_los,median_los,std_los,max_occupancy,throughput,mean_critical_wait,equity_index,p95_los,policy,seed
101.50750175903232,86.3288721413204,56.329290572297616,49.0,319.0,0.0,0.0,217.45996126299144,esi_fifo,0
93.60658699189824,81.1966026915241,45.03528925356139,55.0,306.0,0.0,0.0,183.47029550674185,esi_fifo,1
101.13528489097452,85.98368478705768,53.96589629995306,62.0,340.0,0.0,0.0,201.98659456104696,esi_fifo,2
96.71585982098858,87.14732487447793,45.54895120336974,43.0,305.0,0.0,0.0,189.3747363217176,esi_fifo,3
100.7218484961897,89.5027305172664,49.22013754433578,58.0,330.0,0.0,0.0,193.59367418504905,esi_fifo,4
98.83302826030972,88.22186616844164,51.11091178917805,59.0,334.0,0.0,0.0,206.83604280801177,esi_fifo,5
95.50093803738606,82.7034839751318,51.28206503718545,50.0,327.0,0.0,0.0,183.1818453406925,esi_fifo,6
98.56212672444764,86.87461635020895,51.42613437647603,50.0,317.0,0.0,0.0,198.57535799331887,esi_fifo,7
99.59027115115948,85.79921448487289,55.43810395963692,57.0,323.0,0.0,0.0,188.7698768565183,esi_fifo,8
105.30551150330572,87.5540126544156,60.36806734106934,52.0,297.0,0.0,0.0,227.048534028545,esi_fifo,9
101.50750175903232,86.3288721413204,56.329290572297616,49.0,319.0,0.0,0.0,217.45996126299144,srpt,0
93.60658699189824,81.1966026915241,45.03528925356139,55.0,306.0,0.0,0.0,183.47029550674185,srpt,1
101.13528489097452,85.98368478705768,53.96589629995306,62.0,340.0,0.0,0.0,201.98659456104696,srpt,2
96.71585982098858,87.14732487447793,45.54895120336974,43.0,305.0,0.0,0.0,189.3747363217176,srpt,3
100.7218484961897,89.5027305172664,49.22013754433578,58.0,330.0,0.0,0.0,193.59367418504905,srpt,4
98.83302826030972,88.22186616844164,51.11091178917805,59.0,334.0,0.0,0.0,206.83604280801177,srpt,5
95.50093803738606,82.7034839751318,51.28206503718545,50.0,327.0,0.0,0.0,183.1818453406925,srpt,6
98.56212672444764,86.87461635020895,51.42613437647603,50.0,317.0,0.0,0.0,198.57535799331887,srpt,7
99.59027115115948,85.79921448487289,55.43810395963692,57.0,323.0,0.0,0.0,188.7698768565183,srpt,8
105.30551150330572,87.5540126544156,60.36806734106934,52.0,297.0,0.0,0.0,227.048534028545,srpt,9
101.50750175903232,86.3288721413204,56.329290572297616,49.0,319.0,0.0,0.0,217.45996126299144,heuristic,0
93.60658699189824,81.1966026915241,45.03528925356139,55.0,306.0,0.0,0.0,183.47029550674185,heuristic,1
101.13528489097452,85.98368478705768,53.96589629995306,62.0,340.0,0.0,0.0,201.98659456104696,heuristic,2
96.71585982098858,87.14732487447793,45.54895120336974,43.0,305.0,0.0,0.0,189.3747363217176,heuristic,3
100.7218484961897,89.5027305172664,49.22013754433578,58.0,330.0,0.0,0.0,193.59367418504905,heuristic,4
98.83302826030972,88.22186616844164,51.11091178917805,59.0,334.0,0.0,0.0,206.83604280801177,heuristic,5
95.50093803738606,82.7034839751318,51.28206503718545,50.0,327.0,0.0,0.0,183.1818453406925,heuristic,6
98.56212672444764,86.87461635020895,51.42613437647603,50.0,317.0,0.0,0.0,198.57535799331887,heuristic,7
99.59027115115948,85.79921448487289,55.43810395963692,57.0,323.0,0.0,0.0,188.7698768565183,heuristic,8
105.30551150330572,87.5540126544156,60.36806734106934,52.0,297.0,0.0,0.0,227.048534028545,heuristic,9
101.55444066819695,90.01642367328611,52.562012869102674,59.0,317.0,0.0,0.0,202.01795983670164,dqn_dt,0
98.6853310291509,87.6453789412567,49.523280714670385,55.0,329.0,0.0,0.0,188.63373737068923,dqn_dt,1
98.09083544182216,86.09844816625775,51.02770643761187,47.0,305.0,0.0,0.0,201.44353937332372,dqn_dt,2
98.91651172311715,84.78757537932836,55.71716839142738,56.0,317.0,0.0,0.0,195.30324985919205,dqn_dt,3
101.28501788694729,88.050867030058,53.585785957140104,46.0,354.0,0.0,0.0,208.7624378493672,dqn_dt,4
108.11958906495383,88.01019198625067,66.10539398297699,46.0,310.0,0.0,0.0,237.2245791221984,dqn_dt,5
97.1264742683929,87.08538633638841,48.19220529047518,62.0,327.0,0.0,0.0,185.6037605198136,dqn_dt,6
93.62306448833903,84.10148289501683,44.63701069631776,53.0,308.0,0.0,0.0,172.82818507443722,dqn_dt,7
96.10084566261173,82.93076309589651,53.4717888669549,56.0,319.0,0.0,0.0,193.00449000335746,dqn_dt,8
94.2337181605252,80.73549772767086,51.97425931918651,46.0,316.0,0.0,0.0,196.88920068906882,dqn_dt,9
