mean_los,median_los,std_los,max_occupancy,throughput,mean_critical_wait,equity_index,p95_los,policy,seed
101.55444066819695,90.01642367328611,52.562012869102674,59.0,317.0,0.0,0.0,202.01795983670164,dqn_dt,0
98.6853310291509,87.6453789412567,49.523280714670385,55.0,329.0,0.0,0.0,188.63373737068923,dqn_dt,1
98.09083544182216,86.09844816625775,51.02770643761187,47.0,305.0,0.0,0.0,201.44353937332372,dqn_dt,2
98.91651172311715,84.78757537932836,55.71716839142738,56.0,317.0,0.0,0.0,195.30324985919205,dqn_dt,3
101.28501788694729,88.050867030058,53.585785957140104,46.0,354.0,0.0,0.0,208.7624378493672,dqn_dt,4
108.11958906495383,88.01019198625067,66.10539398297699,46.0,310.0,0.0,0.0,237.2245791221984,dqn_dt,5
97.1264742683929,87.08538633638841,48.19220529047518,62.0,327.0,0.0,0.0,185.6037605198136,dqn_dt,6
93.62306448833903,84.10148289501683,44.63701069631776,53.0,308.0,0.0,0.0,172.82818507443722,dqn_dt,7
96.10084566261173,82.93076309589651,53.4717888669549,56.0,319.0,0.0,0.0,193.00449000335746,dqn_dt,8
94.2337181605252,80.73549772767086,51.97425931918651,46.0,316.0,0.0,0.0,196.88920068906882,dqn_dt,9
